id,skill_level,speed_std,acc_std,jerk_mean,lane_deviation_mean,follow_dist_mean,harsh_freq,lane_change_freq,critical_ttc_count,critical_thw_count
12,Expert,3.85,0.408,0.252,0.113,91.227,0.0,0.0,0,29
15,Expert,1.181,0.106,0.216,0.189,55.721,0.0,0.0,0,242
16,Expert,0.65,0.07,0.339,0.144,99.06,0.0,0.0,0,0
18,Expert,2.688,0.181,0.339,0.315,67.238,0.0,0.0,0,0
19,Expert,0.753,0.125,0.397,0.22,65.66,0.0,0.0,0,0
20,Expert,0.657,0.143,0.372,0.311,71.394,0.0,0.0,0,0
21,Expert,2.894,0.207,0.393,0.163,23.141,0.0,0.0,0,288
23,Expert,1.075,0.143,0.711,0.449,0.0,0.0,0.077,0,0
25,Expert,3.979,0.234,0.165,0.122,0.0,0.0,0.0,0,0
26,Expert,1.193,0.032,0.229,0.054,84.239,0.0,0.0,0,0
27,Expert,1.392,0.135,0.312,0.483,26.822,0.0,0.0,0,385
28,Expert,2.129,0.167,0.332,0.378,46.594,0.0,0.0,0,196
29,Expert,0.396,0.105,0.334,0.235,47.232,0.0,0.0,0,258
30,Expert,1.138,0.15,0.516,0.516,45.702,0.0,0.077,0,224
31,Expert,0.612,0.222,0.549,0.696,110.887,0.0,0.096,0,0
32,Expert,3.679,0.163,0.254,0.525,82.888,0.0,0.0,0,0
34,Expert,2.268,0.239,0.416,0.221,111.409,0.0,0.0,0,0
36,Expert,1.281,0.127,0.274,0.241,82.44,0.0,0.0,0,0
37,Expert,1.091,0.084,0.118,0.118,34.041,0.0,0.0,0,252
40,Expert,2.023,0.12,0.304,0.91,89.374,0.0,0.0,0,0
41,Expert,2.921,0.223,0.214,0.605,31.624,0.0,0.0,0,273
42,Expert,2.788,0.243,0.27,0.28,24.341,0.0,0.0,0,266
43,Expert,1.258,0.096,0.247,0.199,37.136,0.0,0.0,0,260
44,Expert,1.62,0.2,0.364,0.186,30.019,0.0,0.0,0,263
46,Expert,2.451,0.368,0.251,0.102,24.993,0.0,0.0,0,268
47,Expert,1.237,0.053,0.159,0.22,0.0,0.0,0.0,0,0
48,Expert,3.335,0.272,0.461,0.453,34.757,0.0,0.082,0,185
49,Expert,3.903,0.138,0.12,0.195,24.356,0.0,0.0,0,175
51,Expert,2.614,0.184,0.366,0.108,30.596,0.0,0.0,0,264
53,Expert,1.931,0.173,0.246,0.229,32.096,0.0,0.0,0,225
54,Expert,4.529,0.071,0.244,0.119,27.427,0.0,0.0,0,264
55,Expert,5.265,0.06,0.251,0.257,75.571,0.0,0.0,0,0
56,Expert,0.674,0.067,0.453,0.15,78.925,0.0,0.0,0,0
57,Expert,1.977,0.022,0.132,0.052,49.706,0.0,0.0,0,230
58,Expert,2.971,0.316,0.668,0.823,60.602,0.0,0.086,11,71
59,Expert,1.547,0.105,0.261,0.23,82.448,0.0,0.0,0,0
60,Expert,0.806,0.091,0.3,0.532,71.756,0.0,0.078,0,59
61,Expert,0.751,0.143,0.539,0.451,107.536,0.0,0.0,0,84
63,Expert,2.251,0.255,0.349,0.184,34.597,0.0,0.0,0,237
64,Expert,0.469,0.105,0.345,0.478,32.068,0.0,0.0,0,376
65,Expert,1.274,0.118,0.293,0.257,70.316,0.0,0.0,0,0
66,Expert,0.847,0.08,0.308,0.524,35.008,0.0,0.0,0,374
67,Expert,0.63,0.048,0.175,0.725,32.402,0.0,0.0,0,308
68,Expert,0.685,0.148,0.342,0.132,17.139,0.0,0.0,0,327
69,Expert,1.005,0.216,0.298,0.29,17.113,0.0,0.0,0,330
70,Expert,2.118,0.23,0.444,0.233,14.734,0.0,0.0,0,337
71,Expert,0.729,0.068,0.154,0.311,71.347,0.0,0.0,0,0
73,Expert,1.386,0.119,0.336,0.23,19.811,0.0,0.0,0,392
74,Expert,4.784,0.405,0.448,0.279,20.369,0.0,0.0,0,325
75,Expert,2.506,0.166,0.312,0.091,18.664,0.0,0.0,0,392
76,Expert,5.216,0.401,0.588,0.118,24.358,0.0,0.0,0,312
78,Expert,0.291,0.111,0.753,0.874,74.534,0.0,0.0,0,0
79,Expert,9.705,0.371,0.55,0.451,26.707,0.0,0.073,0,320
